1	58	9
1	33	7.5
1	25	6.1
1	8	7
1	5	7.2
2	34	2.1
2	43	2.5
2	30	0.75
2	21	1
2	12	1.2
3	22	4
3	32	4.4
3	17	4
3	6	4.7
3	65	2.8
4	15	5
4	48	7.2
4	49	4.5
4	55	7
5	33	5
5	8	3.7
5	47	4.5
5	63	2.7
6	7	4.4
6	13	5.2
6	14	8
6	15	4.5
6	17	3
6	65	5.3
7	13	4
7	54	6.7
7	20	4.5
7	16	3.6
7	61	1.7
7	28	2.1
7	53	2.4
7	36	3
7	65	4.4
8	10	4.4
8	25	2.5
8	31	4
8	63	4
9	26	2.2
9	29	1.5
9	34	2.2
9	39	12.1
9	44	1.6
10	20	2.2
10	25	4.5
10	31	3
11	49	6.8
11	55	3.7
12	16	1.1
12	43	2.3
12	24	1
12	30	0.7
12	46	0.4
13	14	4
13	45	6.5
13	54	3.8
13	31	6.5
14	15	8.8
14	23	3.6
14	45	4.5
15	17	4
15	23	7
15	48	5
15	62	5.7
16	18	1.4
16	20	2.5
16	24	1.3
16	43	3
16	46	1.3
17	32	5
16	62	4
18	24	0.8
18	28	1.2
18	41	1.2
18	50	1.6
18	61	1.1
19	44	0.5
19	26	0.7
19	37	0.45
19	47	0.5
20	31	2.3
20	43	3.5
20	54	4.2
21	41	1
21	24	0.7
21	30	0.5
22	32	5.6
22	39	6.7
22	56	4
22	65	4
23	48	5.3
24	30	0.7
24	41	1.1 
24	46	0.6
26	42	1.5
26	40	1
26	38	2
28	41	1.5
28	50	1.1
28	53	1
28	61	1
29	35	0.34
29	34	2
29	44	0.38
29	59	0.8
30	46	0.4
31	54	3.5
31	63	4.2
32	39	8.7
32	62	4.5
33	45	6.8
33	58	10
34	35	1.2
34	60	1
34	43	3.5
34	57	1.8
35	60	0.6
35	59	0.6
36	38	1.8
36	50	1.8
36	53	1
36	65	1.5
37	40	0.45
37	47	0.4
38	42	1.1
38	56	2.5
38	65	2.5
39	51	13
39	64	11
39	56	10
40	41	1.1
40	47	0.6
40	52	0.6
40	57	1
41	18	1.2
41	52	0.8
41	50	0.9
41	42	1.4
42	50	1.2
42	52	1
45	54	4.2
45	63	3.5
47	57	0.6
47	59	0.4
49	55	6
49	62	7.5
50	52	1.5
50	53	1.2
51	55	8.5
51	64	7.5
52	57	1
54	63	2.5
55	62	5
55	64	4
56	65	3.6
57	59	0.6
57	60	0.6
59	60	0.4
62	64	5.8
